UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
ollama       148       1     148  0   18 23:08 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     256  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     257  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     258  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     259  0   18 23:09 ?        00:00:01 /usr/local/bin/ollama serve
ollama       148       1     260  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     261  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     262  0   18 23:09 ?        00:00:01 /usr/local/bin/ollama serve
ollama       148       1     263  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     264  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     274  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     273  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     294  0   18 23:09 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     870  0   18 23:12 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     871  0   18 23:12 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     872  0   18 23:12 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     931  0   18 23:13 ?        00:00:00 /usr/local/bin/ollama serve
ollama       148       1     932  0   18 23:13 ?        00:00:00 /usr/local/bin/ollama serve
ollama      1135     148    1135 94   24 23:22 ?        00:01:23 /usr/local/lib/ollama/llama-server --port 37681 --host 127.0.0.1 (thread principal, 94% CPU)
ollama      1135     148    1137  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1138  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1141  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1143  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1144  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1145  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1146  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1147  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1148  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1149  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
ollama      1135     148    1150  0   24 23:22 ?        00:00:00 /usr/local/lib/ollama/llama-server (thread)
# Nota: mostrando 12 das 24 threads do llama-server (comando original tinha "head -30" e cortou o restante — NLWP=24 confirma o total real)
