% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 76.54  552.213130      102129      5407       510 futex
 10.95   78.992532       40571      1947           poll
  5.40   38.933537      229020       170         1 accept4
  4.34   31.316118       69130       453           mmap
  0.98    7.083609        3227      2195           epoll_pwait
  0.96    6.921897        1259      5496           nanosleep
  0.39    2.810839     2810839         1           waitid
  0.10    0.742995          57     12821       276 read
  0.08    0.562412        1673       336       167 shutdown
  0.06    0.454416          62      7223         9 ioctl
  0.02    0.178280         112      1583           sched_yield
  0.02    0.161812         176       918        21 rt_sigreturn
  0.02    0.140340         746       188       188 connect
  0.02    0.123537         134       917           tgkill
  0.02    0.115609         608       190           socket
  0.02    0.110649         183       604           close
  0.01    0.089741          97       925           getpid
  0.01    0.076647         228       335           recvfrom
  0.01    0.073283         122       597           write
  0.01    0.047617          35      1352           setsockopt
  0.00    0.033808         104       324        84 openat
  0.00    0.031022         382        81           munmap
  0.00    0.030729         134       228           sendto
  0.00    0.027552          66       415        23 epoll_ctl
  0.00    0.022491         803        28           clone3
  0.00    0.020035          35       570        60 stat
  0.00    0.018660          22       843           lseek
  0.00    0.016500         471        35           madvise
  0.00    0.011747          21       553           brk
  0.00    0.006474          24       268           fcntl
  0.00    0.006351          41       154           getdents64
  0.00    0.006141        6141         1           restart_syscall
  0.00    0.005774          17       336           getpeername
  0.00    0.004919          24       204           fstat
  0.00    0.004354          23       188           getsockopt
  0.00    0.004192          12       338           getsockname
  0.00    0.003967          70        56        12 newfstatat
  0.00    0.003536          38        92           mprotect
  0.00    0.002936          30        97           rt_sigprocmask
  0.00    0.002852          51        55           sched_getaffinity
  0.00    0.002834        1417         2           execve
  0.00    0.002204        1102         2           clone
  0.00    0.001820          37        48        14 readlink
  0.00    0.001424          12       117           rt_sigaction
  0.00    0.001359         453         3         3 access
  0.00    0.001060         117         9           pipe2
  0.00    0.000995          33        30           rseq
  0.00    0.000815          27        30           set_robust_list
  0.00    0.000804          25        32           getcwd
  0.00    0.000721         180         4           readlinkat
  0.00    0.000563         563         1           clock_nanosleep
  0.00    0.000338          67         5         5 mkdir
  0.00    0.000279          55         5           eventfd2
  0.00    0.000197          21         9           sysinfo
  0.00    0.000165          23         7           prlimit64
  0.00    0.000132          66         2           pidfd_send_signal
  0.00    0.000126          21         6           dup3
  0.00    0.000076          25         3           getrandom
  0.00    0.000075          18         4           pread64
  0.00    0.000068          34         2           bind
  0.00    0.000068          17         4           gettid
  0.00    0.000037          18         2           arch_prctl
  0.00    0.000032          32         1           sched_get_priority_max
  0.00    0.000027          27         1           geteuid
  0.00    0.000023          11         2           listen
  0.00    0.000020          20         1           uname
  0.00    0.000020          20         1           sched_get_priority_min
  0.00    0.000019           9         2           set_tid_address
  0.00    0.000019          19         1           get_mempolicy
  0.00    0.000013          13         1           fadvise64
------ ----------- ----------- --------- --------- -----------------------
100.00  721.429373       14764     48861      1373 total
